,Year,Sex,Race,Age,Rate
123,2001,Female,Hispanic,22,0.000357684592017904
124,2001,Female,Hispanic,23,0.000359437428414822
125,2001,Female,Hispanic,24,0.000355147698428482
126,2001,Female,Hispanic,25,0.000349740585079417
127,2001,Female,Hispanic,26,0.000347222608979791
128,2001,Female,Hispanic,27,0.000348206172930077
129,2001,Female,Hispanic,28,0.000354586372850463
130,2001,Female,Hispanic,29,0.000366552238119766
131,2001,Female,Hispanic,30,0.00038024372770451
132,2001,Female,Hispanic,31,0.00039785957778804
133,2001,Female,Hispanic,32,0.00042502669384703
134,2001,Female,Hispanic,33,0.000469952909043059
135,2001,Female,Hispanic,34,0.000525300449226052
136,2001,Female,Hispanic,35,0.000590715673752129
137,2001,Female,Hispanic,36,0.000660427496768534
138,2001,Female,Hispanic,37,0.000729512190446258
139,2001,Female,Hispanic,38,0.000794044288340956
140,2001,Female,Hispanic,39,0.000857669219840318
141,2001,Female,Hispanic,40,0.000921573082450777
142,2001,Female,Hispanic,41,0.000997411785647273
143,2001,Female,Hispanic,42,0.00109897111542523
144,2001,Female,Hispanic,43,0.00123658892698586
145,2001,Female,Hispanic,44,0.00140535226091743
146,2001,Female,Hispanic,45,0.00159456685651094
147,2001,Female,Hispanic,46,0.00178888824302703
148,2001,Female,Hispanic,47,0.00198232056573033
149,2001,Female,Hispanic,48,0.00216557667590678
150,2001,Female,Hispanic,49,0.00234225648455322
151,2001,Female,Hispanic,50,0.00253610243089497
152,2001,Female,Hispanic,51,0.00274824700318277
153,2001,Female,Hispanic,52,0.00294951931573451
154,2001,Female,Hispanic,53,0.00312611414119601
155,2001,Female,Hispanic,54,0.0032859577331692
156,2001,Female,Hispanic,55,0.00344189419411123
157,2001,Female,Hispanic,56,0.0036243055947125
158,2001,Female,Hispanic,57,0.00386218330822885
159,2001,Female,Hispanic,58,0.00419034995138645
160,2001,Female,Hispanic,59,0.00461654411628842
161,2001,Female,Hispanic,60,0.00513135083019733
162,2001,Female,Hispanic,61,0.00571255665272474
163,2001,Female,Hispanic,62,0.0063515305519104
164,2001,Female,Hispanic,63,0.00700994487851858
165,2001,Female,Hispanic,64,0.00768331531435251
166,2001,Female,Hispanic,65,0.00841030105948448
167,2001,Female,Hispanic,66,0.00923556461930275
168,2001,Female,Hispanic,67,0.0101544028148055
169,2001,Female,Hispanic,68,0.011193179525435
170,2001,Female,Hispanic,69,0.0123616456985474
171,2001,Female,Hispanic,70,0.0136051271110773
172,2001,Female,Hispanic,71,0.0149489669129252
173,2001,Female,Hispanic,72,0.0165063366293907
174,2001,Female,Hispanic,73,0.0183341298252344
175,2001,Female,Hispanic,74,0.0204079113900661
176,2001,Female,Hispanic,75,0.0226200353354216
177,2001,Female,Hispanic,76,0.0248249843716621
178,2001,Female,Hispanic,77,0.0272793080657721
179,2001,Female,Hispanic,78,0.0301260277628899
180,2001,Female,Hispanic,79,0.0334306247532368
181,2001,Female,Hispanic,80,0.0371561422944069
182,2001,Female,Hispanic,81,0.0413373373448849
183,2001,Female,Hispanic,82,0.0459748543798923
184,2001,Female,Hispanic,83,0.0511874742805958
185,2001,Female,Hispanic,84,0.0575114712119102
186,2001,Female,Hispanic,85,0.0656664073467255
187,2001,Female,Hispanic,86,0.0739135220646858
188,2001,Female,Hispanic,87,0.083041250705719
189,2001,Female,Hispanic,88,0.0931041985750198
190,2001,Female,Hispanic,89,0.104150287806988
191,2001,Female,Hispanic,90,0.116218380630016
192,2001,Female,Hispanic,91,0.129334971308708
193,2001,Female,Hispanic,92,0.143511340022087
194,2001,Female,Hispanic,93,0.158740490674973
195,2001,Female,Hispanic,94,0.174994394183159
196,2001,Female,Hispanic,95,0.192221999168396
197,2001,Female,Hispanic,96,0.210347905755043
198,2001,Female,Hispanic,97,0.229271978139877
199,2001,Female,Hispanic,98,0.248870700597763
200,2001,Female,Hispanic,99,0.268999427556992
201,2001,Female,Hispanic,100,1.0
202,2001,Female,Other,0,0.006139
203,2001,Female,Other,1,0.000475
204,2001,Female,Other,2,0.000293
205,2001,Female,Other,3,0.000219
206,2001,Female,Other,4,0.000177
207,2001,Female,Other,5,0.000164
208,2001,Female,Other,6,0.000149
209,2001,Female,Other,7,0.000138
210,2001,Female,Other,8,0.000127
211,2001,Female,Other,9,0.000118
212,2001,Female,Other,10,0.000112
213,2001,Female,Other,11,0.000115
214,2001,Female,Other,12,0.000135
215,2001,Female,Other,13,0.000175
216,2001,Female,Other,14,0.00023
217,2001,Female,Other,15,0.000295
218,2001,Female,Other,16,0.000357
219,2001,Female,Other,17,0.000405
220,2001,Female,Other,18,0.000431
221,2001,Female,Other,19,0.000439
222,2001,Female,Other,20,0.000445
223,2001,Female,Other,21,0.000456
224,2001,Female,Other,22,0.000467
225,2001,Female,Other,23,0.000479
226,2001,Female,Other,24,0.000493
227,2001,Female,Other,25,0.000511
228,2001,Female,Other,26,0.000531
229,2001,Female,Other,27,0.000555
230,2001,Female,Other,28,0.00058
231,2001,Female,Other,29,0.000609
232,2001,Female,Other,30,0.000641
233,2001,Female,Other,31,0.00068
234,2001,Female,Other,32,0.000737
235,2001,Female,Other,33,0.000804
236,2001,Female,Other,34,0.000889
237,2001,Female,Other,35,0.000979
238,2001,Female,Other,36,0.001072
239,2001,Female,Other,37,0.001172
240,2001,Female,Other,38,0.001279
241,2001,Female,Other,39,0.001393
242,2001,Female,Other,40,0.001514
243,2001,Female,Other,41,0.00164
244,2001,Female,Other,42,0.001768
245,2001,Female,Other,43,0.0019
246,2001,Female,Other,44,0.002041
247,2001,Female,Other,45,0.002194
248,2001,Female,Other,46,0.002363
249,2001,Female,Other,47,0.002555
250,2001,Female,Other,48,0.002769
251,2001,Female,Other,49,0.003003
252,2001,Female,Other,50,0.003257
253,2001,Female,Other,51,0.003529
254,2001,Female,Other,52,0.003821
255,2001,Female,Other,53,0.004145
256,2001,Female,Other,54,0.004512
257,2001,Female,Other,55,0.004941
258,2001,Female,Other,56,0.005433
259,2001,Female,Other,57,0.005974
260,2001,Female,Other,58,0.006547
261,2001,Female,Other,59,0.007157
262,2001,Female,Other,60,0.00785
263,2001,Female,Other,61,0.008643
264,2001,Female,Other,62,0.009491
265,2001,Female,Other,63,0.010374
266,2001,Female,Other,64,0.011302
267,2001,Female,Other,65,0.0123
268,2001,Female,Other,66,0.01329
269,2001,Female,Other,67,0.014435
270,2001,Female,Other,68,0.015749
271,2001,Female,Other,69,0.017234
272,2001,Female,Other,70,0.018866
273,2001,Female,Other,71,0.02073
274,2001,Female,Other,72,0.022926
275,2001,Female,Other,73,0.025483
276,2001,Female,Other,74,0.028383
277,2001,Female,Other,75,0.031636
278,2001,Female,Other,76,0.035122
279,2001,Female,Other,77,0.038977
280,2001,Female,Other,78,0.043237
281,2001,Female,Other,79,0.047938
282,2001,Female,Other,80,0.053122
283,2001,Female,Other,81,0.058833
284,2001,Female,Other,82,0.065114
285,2001,Female,Other,83,0.072016
286,2001,Female,Other,84,0.079586
287,2001,Female,Other,85,0.087877
288,2001,Female,Other,86,0.096941
289,2001,Female,Other,87,0.10683
290,2001,Female,Other,88,0.117596
291,2001,Female,Other,89,0.129291
292,2001,Female,Other,90,0.141961
293,2001,Female,Other,91,0.155651
294,2001,Female,Other,92,0.170399
295,2001,Female,Other,93,0.186237
296,2001,Female,Other,94,0.203185
297,2001,Female,Other,95,0.221257
298,2001,Female,Other,96,0.240451
299,2001,Female,Other,97,0.260753
300,2001,Female,Other,98,0.282132
301,2001,Female,Other,99,0.304542
302,2001,Female,Other,100,1.0
303,2001,Female,White,0,0.0050594
304,2001,Female,White,1,0.0004285
305,2001,Female,White,2,0.0002772
306,2001,Female,White,3,0.0002001
307,2001,Female,White,4,0.000168
308,2001,Female,White,5,0.0001561
309,2001,Female,White,6,0.0001443
310,2001,Female,White,7,0.0001347
311,2001,Female,White,8,0.0001236
312,2001,Female,White,9,0.0001113
313,2001,Female,White,10,0.0001019
314,2001,Female,White,11,0.0001026
315,2001,Female,White,12,0.000122
316,2001,Female,White,13,0.0001649
317,2001,Female,White,14,0.0002245
318,2001,Female,White,15,0.0002945
319,2001,Female,White,16,0.0003596
320,2001,Female,White,17,0.0004071
321,2001,Female,White,18,0.0004273
322,2001,Female,White,19,0.000427
323,2001,Female,White,20,0.0004227
324,2001,Female,White,21,0.0004243
325,2001,Female,White,22,0.0004272
326,2001,Female,White,23,0.0004342
327,2001,Female,White,24,0.0004456
328,2001,Female,White,25,0.0004603
329,2001,Female,White,26,0.0004774
330,2001,Female,White,27,0.000497
331,2001,Female,White,28,0.0005184
332,2001,Female,White,29,0.0005427
333,2001,Female,White,30,0.0005692
334,2001,Female,White,31,0.0006028
335,2001,Female,White,32,0.0006532
336,2001,Female,White,33,0.0007128
337,2001,Female,White,34,0.000789
338,2001,Female,White,35,0.0008709
339,2001,Female,White,36,0.0009545
340,2001,Female,White,37,0.0010426
341,2001,Female,White,38,0.0011341
342,2001,Female,White,39,0.0012293
343,2001,Female,White,40,0.0013301
344,2001,Female,White,41,0.0014365
345,2001,Female,White,42,0.0015483
346,2001,Female,White,43,0.0016686
347,2001,Female,White,44,0.0018013
348,2001,Female,White,45,0.001949
349,2001,Female,White,46,0.0021135
350,2001,Female,White,47,0.0022947
351,2001,Female,White,48,0.0024887
352,2001,Female,White,49,0.0026933
353,2001,Female,White,50,0.0029082
354,2001,Female,White,51,0.003142
355,2001,Female,White,52,0.0034102
356,2001,Female,White,53,0.0037343
357,2001,Female,White,54,0.0041278
358,2001,Female,White,55,0.0046048
359,2001,Female,White,56,0.0051472
360,2001,Female,White,57,0.005725
361,2001,Female,White,58,0.0062956
362,2001,Female,White,59,0.006862
363,2001,Female,White,60,0.0074953
364,2001,Female,White,61,0.0082317
365,2001,Female,White,62,0.0090174
366,2001,Female,White,63,0.0098467
367,2001,Female,White,64,0.010737
368,2001,Female,White,65,0.0117028
369,2001,Female,White,66,0.0127991
370,2001,Female,White,67,0.0140395
371,2001,Female,White,68,0.015426
372,2001,Female,White,69,0.0169647
373,2001,Female,White,70,0.0185755
374,2001,Female,White,71,0.020238
375,2001,Female,White,72,0.0221976
376,2001,Female,White,73,0.0245242
377,2001,Female,White,74,0.0270363
378,2001,Female,White,75,0.0297683
379,2001,Female,White,76,0.0327964
380,2001,Female,White,77,0.0361454
381,2001,Female,White,78,0.0399674
382,2001,Female,White,79,0.0444601
383,2001,Female,White,80,0.0493265
384,2001,Female,White,81,0.0547878
385,2001,Female,White,82,0.0612785
386,2001,Female,White,83,0.068419
387,2001,Female,White,84,0.0768583
388,2001,Female,White,85,0.0860262
389,2001,Female,White,86,0.096247
390,2001,Female,White,87,0.1074574
391,2001,Female,White,88,0.1196996
392,2001,Female,White,89,0.1330047
393,2001,Female,White,90,0.1473902
394,2001,Female,White,91,0.1628569
395,2001,Female,White,92,0.1793859
396,2001,Female,White,93,0.1969367
397,2001,Female,White,94,0.2154454
398,2001,Female,White,95,0.234824
399,2001,Female,White,96,0.2549608
400,2001,Female,White,97,0.2757218
401,2001,Female,White,98,0.2969541
402,2001,Female,White,99,0.3184893
403,2001,Female,White,100,1.0
404,2001,Male,Black,0,0.0154315
405,2001,Male,Black,1,0.0008963
406,2001,Male,Black,2,0.0005072
407,2001,Male,Black,3,0.000392
408,2001,Male,Black,4,0.0003133
409,2001,Male,Black,5,0.0002844
410,2001,Male,Black,6,0.0002624
411,2001,Male,Black,7,0.0002426
412,2001,Male,Black,8,0.0002166
413,2001,Male,Black,9,0.0001869
414,2001,Male,Black,10,0.0001665
415,2001,Male,Black,11,0.0001774
416,2001,Male,Black,12,0.0002458
417,2001,Male,Black,13,0.0003893
418,2001,Male,Black,14,0.0005941
419,2001,Male,Black,15,0.0008252
420,2001,Male,Black,16,0.001059
421,2001,Male,Black,17,0.0013033
422,2001,Male,Black,18,0.0015463
423,2001,Male,Black,19,0.0017815
424,2001,Male,Black,20,0.0020369
425,2001,Male,Black,21,0.002287
426,2001,Male,Black,22,0.0024666
427,2001,Male,Black,23,0.0025456
428,2001,Male,Black,24,0.0025446
429,2001,Male,Black,25,0.0025147
430,2001,Male,Black,26,0.0024957
431,2001,Male,Black,27,0.0024815
432,2001,Male,Black,28,0.0024896
433,2001,Male,Black,29,0.0025201
434,2001,Male,Black,30,0.0025513
435,2001,Male,Black,31,0.0025908
436,2001,Male,Black,32,0.0027249
437,2001,Male,Black,33,0.0027998
438,2001,Male,Black,34,0.0029716
439,2001,Male,Black,35,0.0031647
440,2001,Male,Black,36,0.0033706
441,2001,Male,Black,37,0.0036019
442,2001,Male,Black,38,0.0038607
443,2001,Male,Black,39,0.004149
444,2001,Male,Black,40,0.0044497
445,2001,Male,Black,41,0.0047781
446,2001,Male,Black,42,0.0051767
447,2001,Male,Black,43,0.0056736
448,2001,Male,Black,44,0.0062644
449,2001,Male,Black,45,0.0069336
450,2001,Male,Black,46,0.0076421
451,2001,Male,Black,47,0.0083557
452,2001,Male,Black,48,0.0090239
453,2001,Male,Black,49,0.0096494
454,2001,Male,Black,50,0.0102903
455,2001,Male,Black,51,0.0109852
456,2001,Male,Black,52,0.0117245
457,2001,Male,Black,53,0.0125582
458,2001,Male,Black,54,0.0135309
459,2001,Male,Black,55,0.0147008
460,2001,Male,Black,56,0.0160424
461,2001,Male,Black,57,0.0174466
462,2001,Male,Black,58,0.0187336
463,2001,Male,Black,59,0.0198623
464,2001,Male,Black,60,0.020927
465,2001,Male,Black,61,0.0221226
466,2001,Male,Black,62,0.02352
467,2001,Male,Black,63,0.0252568
468,2001,Male,Black,64,0.0273117
469,2001,Male,Black,65,0.0295082
470,2001,Male,Black,66,0.0317453
471,2001,Male,Black,67,0.0341136
472,2001,Male,Black,68,0.0367266
473,2001,Male,Black,69,0.0395393
474,2001,Male,Black,70,0.0424633
475,2001,Male,Black,71,0.0456055
476,2001,Male,Black,72,0.0491677
477,2001,Male,Black,73,0.0531979
478,2001,Male,Black,74,0.0572326
479,2001,Male,Black,75,0.0615957
480,2001,Male,Black,76,0.0665514
481,2001,Male,Black,77,0.0722513
482,2001,Male,Black,78,0.0780077
483,2001,Male,Black,79,0.0841577
484,2001,Male,Black,80,0.090718
485,2001,Male,Black,81,0.0977038
486,2001,Male,Black,82,0.1051294
487,2001,Male,Black,83,0.1130072
488,2001,Male,Black,84,0.1213478
489,2001,Male,Black,85,0.1301593
490,2001,Male,Black,86,0.139447
491,2001,Male,Black,87,0.1492131
492,2001,Male,Black,88,0.1594563
493,2001,Male,Black,89,0.1701714
494,2001,Male,Black,90,0.1813491
495,2001,Male,Black,91,0.1929757
496,2001,Male,Black,92,0.2050328
497,2001,Male,Black,93,0.2174972
498,2001,Male,Black,94,0.2303414
499,2001,Male,Black,95,0.2435327
500,2001,Male,Black,96,0.2570346
501,2001,Male,Black,97,0.2708059
502,2001,Male,Black,98,0.284802
503,2001,Male,Black,99,0.2989752
504,2001,Male,Black,100,1.0
505,2001,Male,Hispanic,0,0.0058971275575459
506,2001,Male,Hispanic,1,0.000389809691114351
507,2001,Male,Hispanic,2,0.000329714064719155
508,2001,Male,Hispanic,3,0.000213994106161408
509,2001,Male,Hispanic,4,0.000213520615943708
510,2001,Male,Hispanic,5,0.000172309519257396
511,2001,Male,Hispanic,6,0.000155552115757018
512,2001,Male,Hispanic,7,0.000139547410071827
513,2001,Male,Hispanic,8,0.000117684685392305
514,2001,Male,Hispanic,9,9.20293241506442e-05
515,2001,Male,Hispanic,10,7.36253932700492e-05
516,2001,Male,Hispanic,11,8.02987196948379e-05
517,2001,Male,Hispanic,12,0.00013232315541245
518,2001,Male,Hispanic,13,0.000242168040131219
519,2001,Male,Hispanic,14,0.00039698596810922
520,2001,Male,Hispanic,15,0.000571017386391759
521,2001,Male,Hispanic,16,0.000738255854230374
522,2001,Male,Hispanic,17,0.000892082753125578
523,2001,Male,Hispanic,18,0.0010166484862566
524,2001,Male,Hispanic,19,0.00111313757952303
525,2001,Male,Hispanic,20,0.00120579591020942
526,2001,Male,Hispanic,21,0.00129230367019773
527,2001,Male,Hispanic,22,0.00134464947041124
528,2001,Male,Hispanic,23,0.00135630404110998
529,2001,Male,Hispanic,24,0.00133834034204483
530,2001,Male,Hispanic,25,0.00130819831974804
531,2001,Male,Hispanic,26,0.00128110544756055
532,2001,Male,Hispanic,27,0.0012593085411936
533,2001,Male,Hispanic,28,0.00124956725630909
534,2001,Male,Hispanic,29,0.0012508244253695
535,2001,Male,Hispanic,30,0.00125445239245892
536,2001,Male,Hispanic,31,0.00126041006296873
537,2001,Male,Hispanic,32,0.00127978017553687
538,2001,Male,Hispanic,33,0.00131670432165265
539,2001,Male,Hispanic,34,0.0013705346500501
540,2001,Male,Hispanic,35,0.001431017764844
541,2001,Male,Hispanic,36,0.00150265474803746
542,2001,Male,Hispanic,37,0.00160208786837757
543,2001,Male,Hispanic,38,0.00173588143661618
544,2001,Male,Hispanic,39,0.00189737835898995
545,2001,Male,Hispanic,40,0.00208161701448262
546,2001,Male,Hispanic,41,0.00227198447100818
